Group,Category,Size Names,Item,Price,Notes
Main Menu,Appetizers,Boat,Buffalo Wings,4.5,
Main Menu,Appetizers,Boat,Chicken Fingers,6.99,
Main Menu,Appetizers,Boat,French Fries,3.75,
Main Menu,Salad,Small,Caesar Salad,5.5,
Main Menu,Salad,Large,Caesar Salad,6.5,
Main Menu,Salad,Small,Antipasto,6.5,
Main Menu,å†’æ¶¼ç²‰ #M's; 10" <FÃ¼ÃŸbÃ¤l> & Ù‡ÙØ¬ÙŽØ§Ø¦ÙÙŠ,Large,Antipasto,7.5,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Lunch Menu,Lunch Sandwiches,,Italian,4.99,
,,,,,
Pizza Menu,Gourmet Pizza,"12""",Alfredo,12.5,
Pizza Menu,Gourmet Pizza,"16""",Alfredo,16.5,
Pizza Menu,Gourmet Pizza,"12""",Francese,12.5,
Pizza Menu,Gourmet Pizza,"16""",Francese,16.5,
,,,,,
Main Menu,Sandwiches,,BLT,3.99,